w2:4.3cm;l2:30.3cm;w1:4cm;l1:23.75cm;;;;;;;;;;;;;;;;;
3.70001;;;;;;;;;;;;;;;;;;;;
3.72002;;;;;;;;;;;;;;;;;;;;
3.72999;;;;;;;;;;;;;;;;;;;;
3.74;;;;;;;;;;;;;;;;;;;;
3.75001;;;;;;;;;;;;;;;;;;;;
3.75998;;;;;;;;;;;;;;;;;;;;
3.77002;;;;;;;;;;;;;;;;;;;;
3.78001;;;;;;;;;;;;;;;;;;;;
3.78995;;;;;;;;;;;;;;;;;;;;
3.8;;;;;;;;;;;;;;;;;;;;
3.80995;;;;;;;;;;;;;;;;;;;;
3.82001;;;;;;;;;;;;;;;;;;;;
3.83;;;;;;;;;;;;;;;;;;;;
3.84001;;;;;;;;;;;;;;;;;;;;
3.85002;;;;;;;;;;;;;;;;;;;;
3.85998;;;;;;;;;;;;;;;;;;;;
3.87001;;;;;;;;;;;;;;;;;;;;
3.87998;;;;;;;;;;;;;;;;;;;;
3.89002;;;;;;;;;;;;;;;;;;;;
3.9;;;;;;;;;;;;;;;;;;;;
3.91001;;;;;;;;;;;;;;;;;;;;
3.92;;;;;;;;;;;;;;;;;;;;
3.93001;;;;;;;;;;;;;;;;;;;;
3.93996;;;;;;;;;;;;;;;;;;;;
3.95001;;;;;;;;;;;;;;;;;;;;
3.96026;;;;;;;;;;;;;;;;;;;;
3.96999;;;;;;;;;;;;;;;;;;;;
3.98002;;;;;;;;;;;;;;;;;;;;
3.98997;;;;;;;;;;;;;;;;;;;;
3.99996;;;;;;;;;;;;;;;;;;;;
4.01003;;;;;;;;;;;;;;;;;;;;
4.02;;;;;;;;;;;;;;;;;;;;
4.03;;;;;;;;;;;;;;;;;;;;
4.03996;;;;;;;;;;;;;;;;;;;;
4.05;;;;;;;;;;;;;;;;;;;;
4.05994;;;;;;;;;;;;;;;;;;;;
4.06995;;;;;;;;;;;;;;;;;;;;
4.08001;;;;;;;;;;;;;;;;;;;;
4.09;;;;;;;;;;;;;;;;;;;;
4.09995;;;;;;;;;;;;;;;;;;;;
4.10995;;;;;;;;;;;;;;;;;;;;
4.12;;;;;;;;;;;;;;;;;;;;
4.12995;;;;;;;;;;;;;;;;;;;;
4.14007;;;;;;;;;;;;;;;;;;;;
4.14999;;;;;;;;;;;;;;;;;;;;
4.17001;;;;;;;;;;;;;;;;;;;;
4.18;;;;;;;;;;;;;;;;;;;;
4.19;;;;;;;;;;;;;;;;;;;;
4.20001;;;;;;;;;;;;;;;;;;;;
4.20999;;;;;;;;;;;;;;;;;;;;
4.22;;;;;;;;;;;;;;;;;;;;
4.23001;;;;;;;;;;;;;;;;;;;;
4.24;;;;;;;;;;;;;;;;;;;;
4.25;;;;;;;;;;;;;;;;;;;;
4.25998;;;;;;;;;;;;;;;;;;;;
4.27;;;;;;;;;;;;;;;;;;;;
4.27997;;;;;;;;;;;;;;;;;;;;
4.29001;;;;;;;;;;;;;;;;;;;;
4.30001;;;;;;;;;;;;;;;;;;;;
4.30996;;;;;;;;;;;;;;;;;;;;
4.31998;;;;;;;;;;;;;;;;;;;;
4.33;;;;;;;;;;;;;;;;;;;;
4.34;;;;;;;;;;;;;;;;;;;;
4.34996;;;;;;;;;;;;;;;;;;;;
4.36002;;;;;;;;;;;;;;;;;;;;
4.37003;;;;;;;;;;;;;;;;;;;;
4.37996;;;;;;;;;;;;;;;;;;;;
4.38996;;;;;;;;;;;;;;;;;;;;
4.4;;;;;;;;;;;;;;;;;;;;
4.40996;;;;;;;;;;;;;;;;;;;;
4.42001;;;;;;;;;;;;;;;;;;;;
4.43;;;;;;;;;;;;;;;;;;;;
4.43995;;;;;;;;;;;;;;;;;;;;
4.45;;;;;;;;;;;;;;;;;;;;
4.46001;;;;;;;;;;;;;;;;;;;;
4.47;;;;;;;;;;;;;;;;;;;;
4.48001;;;;;;;;;;;;;;;;;;;;
4.49;;;;;;;;;;;;;;;;;;;;
4.50001;;;;;;;;;;;;;;;;;;;;
4.50998;;;;;;;;;;;;;;;;;;;;
4.52;;;;;;;;;;;;;;;;;;;;
4.53;;;;;;;;;;;;;;;;;;;;
4.54001;;;;;;;;;;;;;;;;;;;;
4.55;;;;;;;;;;;;;;;;;;;;
4.55995;;;;;;;;;;;;;;;;;;;;
4.57001;;;;;;;;;;;;;;;;;;;;
4.58;;;;;;;;;;;;;;;;;;;;
4.59;;;;;;;;;;;;;;;;;;;;
4.59999;;;;;;;;;;;;;;;;;;;;
4.61;;;;;;;;;;;;;;;;;;;;
4.62998;;;;;;;;;;;;;;;;;;;;
4.64;;;;;;;;;;;;;;;;;;;;
4.64999;;;;;;;;;;;;;;;;;;;;
4.66001;;;;;;;;;;;;;;;;;;;;
4.67;;;;;;;;;;;;;;;;;;;;
4.68;;;;;;;;;;;;;;;;;;;;
4.68997;;;;;;;;;;;;;;;;;;;;
4.7;;;;;;;;;;;;;;;;;;;;
4.71;;;;;;;;;;;;;;;;;;;;
4.71997;;;;;;;;;;;;;;;;;;;;
4.73004;;;;;;;;;;;;;;;;;;;;
4.74002;;;;;;;;;;;;;;;;;;;;
4.75;;;;;;;;;;;;;;;;;;;;
4.76009;;;;;;;;;;;;;;;;;;;;
4.77;;;;;;;;;;;;;;;;;;;;
4.77995;;;;;;;;;;;;;;;;;;;;
4.79001;;;;;;;;;;;;;;;;;;;;
4.8;;;;;;;;;;;;;;;;;;;;
4.81;;;;;;;;;;;;;;;;;;;;
4.82001;;;;;;;;;;;;;;;;;;;;
4.83;;;;;;;;;;;;;;;;;;;;
4.84;;;;;;;;;;;;;;;;;;;;
4.85001;;;;;;;;;;;;;;;;;;;;
4.86;;;;;;;;;;;;;;;;;;;;
4.87;;;;;;;;;;;;;;;;;;;;
4.87998;;;;;;;;;;;;;;;;;;;;
4.89;;;;;;;;;;;;;;;;;;;;
4.9;;;;;;;;;;;;;;;;;;;;
4.91;;;;;;;;;;;;;;;;;;;;
4.92;;;;;;;;;;;;;;;;;;;;
4.93;;;;;;;;;;;;;;;;;;;;
4.94001;;;;;;;;;;;;;;;;;;;;
4.95;;;;;;;;;;;;;;;;;;;;
4.96002;;;;;;;;;;;;;;;;;;;;
4.96996;;;;;;;;;;;;;;;;;;;;
4.97995;;;;;;;;;;;;;;;;;;;;
4.98995;;;;;;;;;;;;;;;;;;;;
4.99997;0.640137;-0.764831;-0.0726929;0.0001831;82;-983;-188;0;-0.125;0.125;-85;285;-20;1.59154;-1.65963;0.109195;0.236489;-0.0376379;0.0362146;-0.0462352
5.00996;0.640137;-0.764831;-0.0726929;0.0001831;107;-975;-183;0;0.063;0.063;-85;285;-20;1.59154;-1.6596;0.109241;0.236489;-0.0378751;0.0362937;-0.0462352
5.01997;0.640137;-0.764831;-0.0726929;0.0001831;107;-975;-183;0;0.063;0.063;-85;285;-20;1.59154;-1.65963;0.109195;0.236403;-0.0379542;0.0363727;-0.0461324
5.03002;0.640137;-0.764831;-0.0726929;0.0001831;94;-983;-169;-0.063;0.063;0;-73.75;288.75;-23.75;1.59154;-1.65963;0.109195;0.236403;-0.037796;0.0362146;-0.0463379
5.03997;0.640137;-0.764831;-0.0726929;0.0001831;103;-978;-167;-0.313;-0.125;-0.188;-73.75;288.75;-23.75;1.59154;-1.65963;0.109195;0.236403;-0.0378751;0.0362937;-0.0462352
5.04999;0.640137;-0.764831;-0.0726929;0.0001831;84;-992;-188;0.063;-0.063;0;-73.75;288.75;-23.75;1.59154;-1.65963;0.109195;0.236403;-0.0378751;0.0362937;-0.0462352
5.06003;0.640137;-0.764831;-0.0726929;0.0001831;84;-992;-188;0.063;-0.063;0;-73.75;288.75;-23.75;1.59154;-1.65963;0.109195;0.236403;-0.037796;0.0362146;-0.0462352
5.07;0.640137;-0.764831;-0.0726929;0.0001831;95;-982;-169;0.125;0.188;-0.125;-73.75;288.75;-23.75;1.59154;-1.65963;0.109195;0.236489;-0.0379542;0.0365309;-0.0462352
5.08;0.640137;-0.764831;-0.0726929;0.0001831;93;-982;-166;0;0;-0.125;-73.75;280.625;-18.75;1.59154;-1.6596;0.10915;0.236403;-0.037717;0.0362937;-0.0462352
5.10006;0.640137;-0.764831;-0.0726929;0.0001831;84;-985;-163;0.125;0.125;-0.125;-73.75;280.625;-18.75;1.59154;-1.6596;0.10915;0.236489;-0.0379542;0.0362146;-0.0463379
5.11002;0.640137;-0.764831;-0.0726929;0.0001831;89;-979;-172;0.063;0.063;-0.063;-73.75;280.625;-18.75;1.59154;-1.65958;0.109195;0.236489;-0.0379542;0.0362146;-0.0462352
5.11999;0.640137;-0.764831;-0.0726929;0.0001831;85;-983;-171;-0.063;0.063;-0.063;-73.75;280.625;-18.75;1.59154;-1.65958;0.109195;0.236574;-0.037717;0.0362937;-0.0463379
5.13;0.640137;-0.764831;-0.0726929;0.0001831;84;-984;-172;0;-0.063;0.063;-70;277.5;-11.875;1.59154;-1.65963;0.109195;0.236489;-0.0379542;0.0363727;-0.0462352
5.14;0.640137;-0.764831;-0.0726929;0.0001831;84;-984;-172;0;-0.063;0.063;-70;277.5;-11.875;1.59154;-1.6596;0.10915;0.236489;-0.0378751;0.0362937;-0.0463379
5.14998;0.640137;-0.764831;-0.0726929;0.0001831;78;-980;-180;0.063;-0.188;-0.125;-70;277.5;-11.875;1.59154;-1.6596;0.10915;0.236489;-0.037717;0.0362937;-0.0463379
